team_a,team_b,start_time,tournament,year,venue,match_day
Brazil,Argentina,2024-06-20 20:00:00,World Cup,2024,Maracana Stadium,1
France,Germany,2024-06-21 18:00:00,World Cup,2024,Allianz Arena,1
Spain,Italy,2024-06-22 21:00:00,World Cup,2024,Santiago Bernabeu,1
England,Netherlands,2024-06-23 19:00:00,World Cup,2024,Wembley Stadium,1
Portugal,Belgium,2024-06-24 20:00:00,World Cup,2024,Estadio da Luz,1
Argentina,France,2024-06-26 21:00:00,World Cup,2024,Lusail Stadium,2
Brazil,Germany,2024-06-27 18:00:00,World Cup,2024,Allianz Arena,2
Spain,England,2024-06-28 20:00:00,World Cup,2024,Wembley Stadium,2
Italy,Netherlands,2024-06-29 19:00:00,World Cup,2024,Johan Cruyff Arena,2
Portugal,Belgium,2024-06-30 21:00:00,World Cup,2024,Estadio da Luz,2
